Count,X,Y,Z,Training count,Output
398,0.01,2.98,-7.4,,0
397,0.15,2.06,-7.04,,0
396,0.08,1.34,-6.95,,0
395,0.07,1.51,-6.91,,0
277,-3.21,-9.3,11.78,2,0
276,-1.67,-6.62,9.78,,0
275,-0.94,-6.71,6.11,,0
274,0.54,-5.28,0.7,,0
273,0.67,-2.32,-4.02,,0
272,0.22,-0.26,-6.98,,0
271,0.26,1.51,-8.43,,0
270,0.41,4.05,-8.68,,0
269,0.17,3.12,-8.38,,0
268,0.33,3.48,-8.43,,0
267,0.29,3.57,-8.39,,0
266,0.21,3.7,-8.41,,0
265,0.23,3.53,-8.43,,0
94,-3.83,-9.48,12.72,1,0
93,-2.82,-7.95,11.08,,0
92,-1.35,-9.36,7.68,,0
91,-0.03,-6.64,2.5,,0
90,-0.39,-3.6,-2.09,,0
89,-0.22,-0.91,-5.47,,0
88,0.04,0.62,-6.66,,0
87,-0.15,3.66,-6.39,,0
86,0.3,2.42,-6.07,,0
4558,-2.35,-8.68,-11.57,55,1
4557,-3.13,-8.31,-11.02,,1
4556,-2.8,-5.88,-10.7,,1
4555,-3.09,-3.9,-10.73,,1
4554,-3.59,-2.76,-11.58,,1
4553,-3.79,-3.97,-14.96,,1
4552,-3.29,-2.1,-20.31,,1
4551,-2.94,-0.7,-26.14,,1
4550,-2.18,0.84,-31.36,,1
4549,-1.07,3.38,-34.6,,1
4548,0.23,6.77,-35.59,,1
4547,0.26,6.77,-35,,1
4546,0.62,6.09,-34.36,,1
4545,0.6,5.42,-34.14,,1
4544,0.54,5.65,-34.08,,1
4475,-2.7,-9.25,-12.85,54,1
4474,-2.04,-8.57,-12.81,,1
4473,-2.34,-5.1,-12.33,,1
4472,-2.23,-4.03,-11.97,,1
4471,-3.31,-2.2,-12.01,,1
4470,-4.18,-3.19,-13.92,,1
4469,-3.99,-2.31,-17.98,,1
4468,-3.05,0.76,-23.25,,1
4467,-2.33,0.13,-28.76,,1
4466,-1.31,2.54,-33.27,,1
4465,0.04,4.53,-35.72,,1
4464,0.44,6.74,-35.76,,1
4463,0.24,7.14,-34.58,,1
4462,0.54,5.52,-34.07,,1
4461,0.53,5.42,-34.07,,1
4385,2.3,8.17,-34.62,53,1
4384,2.45,5.35,-35.22,,1
4383,1.78,5.72,-36.26,,1
4382,0.75,2.5,-36.13,,1
4381,0.02,-1.35,-34.61,,1
4380,-1.23,-2.49,-31.46,,1
4379,-2.74,-5.92,-27.24,,1
4378,-3.82,-8.11,-22.96,,1
4377,-4.79,-8.11,-18.92,,1
4376,-4.82,-12.95,-15.02,,1
4375,-4.56,-12.34,-12.23,,1
4374,-4.46,-9.77,-10.38,,1
4373,-3.99,-10.05,-10.08,,1
4372,-3.88,-10.49,-10.29,,1
4371,-3.75,-10.17,-10.46,,1
4370,-3.55,-10.58,-10.56,,1
4369,-3.19,-10.08,-10.65,,1
4368,-2.99,-9.13,-10.59,,1
4367,-2.3,-7.16,-10.26,,1
4366,-2.75,-5.25,-9.86,,1
4365,-2.85,-3.93,-9.88,,1
4364,-3.71,-2.9,-11.31,,1
4363,-4.39,-1.88,-14.26,,1
4362,-4.06,-1.68,-18.68,,1
4361,-3.24,1.51,-23.84,,1
4360,-2.19,1.01,-29.18,,1
4359,-1.4,1.69,-33.46,,1
4358,-0.16,3.55,-35.48,,1
4357,0.36,7.82,-34.79,,1
4356,0.08,7.47,-33.15,,1
4312,-2.92,-9.4,-12.21,52,1
4311,-2.25,-7.79,-12.41,,1
4310,-2.02,-7.76,-12.39,,1
4309,-1.9,-5.8,-12.57,,1
4308,-2.48,-3.56,-12.22,,1
4307,-2.56,0.13,-12.04,,1
4306,-3,1.11,-13.44,,1
4305,-3.43,-1.18,-16.84,,1
4304,-2.12,-0.69,-21.98,,1
4303,-1.6,0.21,-27.67,,1
4302,-1.2,2.78,-32.39,,1
4301,-0.12,4.45,-34.69,,1
4300,0.41,8.13,-34.42,,1
4299,0.24,8.16,-32.96,,1
4298,0.53,5.88,-32.48,,1
4297,0.46,5.86,-32.45,,1
4296,0.46,5.8,-32.46,,1
4295,0.39,5.92,-32.45,,1
4239,-2.94,-7.99,-8.91,51,1
4238,-3.02,-5.32,-8.72,,1
4237,-4.18,-4.62,-8.37,,1
4236,-3.73,-0.44,-9.12,,1
4235,-3.69,-2.55,-11.41,,1
4234,-2.58,-3.34,-15.59,,1
4233,-1.73,-1.43,-21.45,,1
4232,-1.53,-1.24,-27.17,,1
4231,-0.95,2.56,-31.19,,1
4230,0.06,4.29,-32.67,,1
4229,0.18,6.95,-32.34,,1
4228,0.21,6.68,-31.34,,1
4227,0.54,5.51,-31.02,,1
4226,0.52,5.31,-30.97,,1
4145,-2.78,-7.4,-9.23,50,1
4144,-2.63,-6.63,-9.13,,1
4143,-2.74,-5.22,-8.73,,1
4142,-2.9,-2.51,-8.43,,1
4141,-3.48,-1.89,-9.38,,1
4140,-3.68,-3.72,-12.71,,1
4139,-3.03,-0.32,-17.81,,1
4138,-2.56,1.16,-23.31,,1
4137,-1.63,1.86,-28.09,,1
4136,-0.44,3.66,-31.51,,1
4135,0.36,5.04,-32.8,,1
4134,0.35,7.76,-31.99,,1
4133,0.34,6.09,-30.64,,1
4132,0.55,5.55,-30.34,,1
4131,0.59,5.34,-30.25,,1
4086,-3.35,-10.82,-7.16,49,1
4085,-3.11,-11.06,-7.09,,1
4084,-3.1,-8.88,-6.96,,1
4083,-2.64,-5.5,-6.36,,1
4082,-3.19,-4.18,-6.33,,1
4081,-3.81,-4.98,-8.1,,1
4080,-3.55,-3.82,-12.17,,1
4079,-2.38,-1.28,-17.82,,1
4078,-1.91,-0.83,-23.98,,1
4077,-1.29,0.95,-29.45,,1
4076,-0.05,1.85,-32.75,,1
4075,0.91,6.67,-32.89,,1
4074,-0.11,8.8,-30.42,,1
4073,0.41,5.11,-29.53,,1
4072,0.44,5.34,-29.47,,1
3966,-2.84,-8.42,-7.99,48,1
3965,-2.5,-7.93,-8.01,,1
3964,-1.62,-7.87,-7.7,,1
3963,-1.91,-2.84,-7.36,,1
3962,-2.62,-2.41,-6.89,,1
3961,-3,-1.35,-8.13,,1
3960,-3.73,-4.68,-11.56,,1
3959,-3.29,-1.66,-17.18,,1
3958,-3.02,-0.52,-22.88,,1
3957,-1.5,1.82,-27.18,,1
3956,-0.02,5.76,-29.28,,1
3955,0.14,5.72,-29.02,,1
3954,0.23,6.41,-28.01,,1
3953,0.45,4.89,-27.57,,1
3952,0.37,4.9,-27.51,,1
3895,-2.55,-7.62,-7.86,47,1
3894,-1.9,-6.66,-8.14,,1
3893,-0.77,-6.93,-8.06,,1
3892,-0.96,-4.44,-7.64,,1
3891,-2.01,-3.34,-6.68,,1
3890,-3.43,-1.92,-6.32,,1
3889,-4.81,-2,-7.88,,1
3888,-5.2,-2.44,-11.11,,1
3887,-4.36,-2.26,-15.72,,1
3886,-3.4,-1.19,-20.76,,1
3885,-2.42,0.23,-25.36,,1
3884,-0.85,2.11,-28.41,,1
3883,0.32,3.98,-29.34,,1
3882,0.24,6.94,-28.36,,1
3881,0.48,4.96,-27.39,,1
3880,0.48,4.86,-27.31,,1
3814,-2.05,-7.21,-9.61,46,1
3813,-1.49,-4.61,-9.83,,1
3812,-1.47,-6.31,-9.62,,1
3811,-0.58,-3.03,-9.3,,1
3810,-1.81,-2.82,-8.56,,1
3809,-2.5,-2.45,-7.83,,1
3808,-3.56,-3.09,-8.65,,1
3807,-4.03,-2.48,-11.86,,1
3806,-3.62,-0.98,-16.43,,1
3805,-2.52,-0.72,-21.54,,1
3804,-1.67,1.79,-25.67,,1
3803,-0.72,4.14,-27.79,,1
3802,-0.04,3.82,-27.92,,1
3801,0.27,6.8,-27.2,,1
3800,0.24,5.12,-26.14,,1
3799,0.38,4.34,-25.99,,1
3798,0.41,4.12,-26.02,,1
3709,0.54,5.67,-25.78,,1
3708,0.57,6.52,-25.7,45,1
3707,0.61,6.87,-25.71,,1
3706,0.2,6.3,-25.99,,1
3705,0.61,7.32,-26.71,,1
3704,1.78,0.3,-26.8,,1
3703,3.36,14.61,-27.68,,1
3702,1.71,0.88,-28.12,,1
3701,2.19,2.41,-30.39,,1
3700,0.74,-0.08,-30.05,,1
3699,0.7,-0.38,-27.71,,1
3698,-0.83,-2.39,-23.37,,1
3697,-2.15,-4.68,-18.49,,1
3696,-3.21,-6.93,-13.44,,1
3695,-3.7,-8.94,-9.35,,1
3694,-3.55,-7.16,-7.09,,1
3693,-3.21,-8.06,-6.47,,1
3692,-2.62,-6.9,-6.76,,1
3691,-2.34,-6.97,-7.2,,1
3690,-1.17,-7.27,-7.36,,1
3689,-1.21,-3.06,-7.11,,1
3688,-2.57,-3.46,-5.88,,1
3687,-3.41,-1.45,-5.56,,1
3686,-4.32,-2.78,-6.9,,1
3685,-4.51,-2.61,-10.3,,1
3684,-3.86,-2.15,-15.25,,1
3683,-3.1,-0.6,-20.74,,1
3682,-2.15,1.8,-24.93,,1
3681,-0.9,4.44,-27.04,,1
3680,0.01,5.12,-26.8,,1
3679,0.36,7.06,-25.41,,1
3678,0.4,5.05,-24.55,,1
3677,0.34,4.03,-24.39,,1
3676,0.43,4.11,-24.4,,1
3675,0.4,4.09,-24.41,,1
3611,-3.05,-10.26,-5.18,44,1
3610,-2.59,-9.68,-5.31,,1
3609,-2.52,-9.19,-5.29,,1
3608,-2.58,-7.74,-4.91,,1
3607,-2.13,-4.09,-4.36,,1
